ax,ay,az,gx,gy,gz
0.78916,0.02156,10.31774,-0.02318,0.00107,-0.02798
0.78796,0.03832,10.28421,-0.02345,0.0016,-0.02771
0.77239,0.03114,10.31056,-0.02345,0.00147,-0.02825
0.76281,0.01557,10.32373,-0.02372,0.00093,-0.02798
0.78676,0.01317,10.30098,-0.02385,0.00133,-0.02758
0.78676,0.00479,10.33331,-0.02318,0.0012,-0.02731
0.78317,-0.01317,10.29499,-0.02318,0.00173,-0.02785
0.75563,0.01437,10.30936,-0.02318,0.00187,-0.02798
0.75683,0.00838,10.29499,-0.02411,0.00147,-0.02758
0.77958,0.02036,10.2926,-0.02398,0.0016,-0.02758
0.79395,-0.0012,10.2914,-0.02345,0.00213,-0.02731
0.77359,0.01317,10.29499,-0.02358,0.00226,-0.02771
0.78437,0.02515,10.27224,-0.02385,0.0028,-0.02825
0.77479,0.00958,10.28781,-0.02425,0.0016,-0.02798
0.7688,0.0,10.31774,-0.02425,0.00147,-0.02745
0.7676,0.01078,10.31894,-0.02438,0.00173,-0.02785
0.77958,0.01796,10.31535,-0.02465,0.00107,-0.02745
0.77,0.02275,10.28661,-0.02398,0.00133,-0.02798
0.80113,0.01198,10.30337,-0.02438,0.00253,-0.02731
0.79754,0.01198,10.30697,-0.02398,0.0024,-0.02785
0.77838,0.0024,10.30577,-0.02385,0.00226,-0.02825
0.78078,0.0024,10.28661,-0.02385,0.00253,-0.02731
0.76401,-0.0024,10.30457,-0.02358,0.00253,-0.02785
0.79155,0.00359,10.28421,-0.02358,0.00187,-0.02811
0.78437,0.01198,10.27942,-0.02385,0.00147,-0.02771
0.78916,0.00958,10.29858,-0.02385,0.00093,-0.02718
0.78437,0.01916,10.31415,-0.02345,0.0016,-0.02705
0.76281,0.02036,10.28661,-0.02372,0.0024,-0.02678
0.77,0.01557,10.28421,-0.02372,0.00147,-0.02745
0.79036,0.0024,10.31535,-0.02385,0.00107,-0.02825
0.78317,0.00719,10.31894,-0.02372,0.00067,-0.02811
0.78796,0.02275,10.27104,-0.02292,0.00147,-0.02798
0.79036,0.02994,10.31535,-0.02305,0.00133,-0.02785
0.79634,0.02275,10.30577,-0.02411,0.0012,-0.02758
0.80592,0.02275,10.28781,-0.02425,0.00107,-0.02798
0.80353,0.02275,10.31655,-0.02398,0.002,-0.02811
0.79634,0.00719,10.31535,-0.02398,0.0024,-0.02745
0.78078,0.0,10.28062,-0.02318,0.00187,-0.02771
0.77239,0.00719,10.27463,-0.02372,0.00173,-0.02758
0.76042,0.00838,10.2914,-0.02411,0.00147,-0.02785
0.76042,0.01437,10.29739,-0.02451,0.00067,-0.02785
0.78916,0.01916,10.2902,-0.02385,0.0008,-0.02798
0.77479,-0.01796,10.28062,-0.02358,0.00107,-0.02745
0.77838,-0.00719,10.28302,-0.02398,0.00173,-0.02851
0.78676,0.02275,10.27583,-0.02385,0.00107,-0.02811
